order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-02723,2022-01-06,2022,Q1,1,January,North America,Canada,Electronics,Accessories,Government,2,31.89,63.78,54.1,9.68,15.17
ORD-06598,2022-01-06,2022,Q1,1,January,Europe,United Kingdom,Electronics,Smartphones,Corporate,1,1107.04,1107.04,869.98,237.06,21.41
ORD-06974,2022-01-07,2022,Q1,1,January,Latin America,Chile,Clothing,Casual Wear,Corporate,1,79.48,79.48,37.12,42.36,53.3
ORD-03666,2022-01-07,2022,Q1,1,January,North America,United States,Furniture,Desks,Government,1,1069.51,1069.51,596.24,473.27,44.25
ORD-07384,2022-01-07,2022,Q1,1,January,Asia Pacific,China,Clothing,Accessories,Government,1,101.34,101.34,44.86,56.48,55.74
ORD-00707,2022-01-07,2022,Q1,1,January,Latin America,Chile,Clothing,Formal Wear,Corporate,1,203.02,203.02,86.83,116.19,57.23
ORD-05325,2022-01-07,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Accessories,Consumer,1,58.05,58.05,45.53,12.52,21.57
ORD-01449,2022-01-07,2022,Q1,1,January,Latin America,Argentina,Furniture,Lighting,Small Business,4,72.33,289.32,197.66,91.66,31.68
ORD-04233,2022-01-07,2022,Q1,1,January,Europe,France,Electronics,Laptops,Government,1,2767.42,2767.42,2234.83,532.59,19.25
ORD-09374,2022-01-07,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Small Business,3,638.85,1916.55,1200.23,716.32,37.38
ORD-01915,2022-01-07,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Paper & Notebooks,Government,1,53.64,53.64,27.57,26.07,48.6
ORD-01938,2022-01-07,2022,Q1,1,January,Asia Pacific,China,Furniture,Office Chairs,Small Business,2,439.93,879.86,490.96,388.9,44.2
ORD-04806,2022-01-07,2022,Q1,1,January,North America,Canada,Clothing,Sportswear,Small Business,1,99.27,99.27,48.76,50.51,50.88
ORD-01753,2022-01-07,2022,Q1,1,January,Europe,France,Furniture,Storage,Consumer,1,62.56,62.56,43.06,19.5,31.17
ORD-01347,2022-01-07,2022,Q1,1,January,Asia Pacific,China,Furniture,Office Chairs,Corporate,1,432.31,432.31,281.81,150.5,34.81
ORD-09332,2022-01-08,2022,Q1,1,January,North America,United States,Furniture,Desks,Consumer,2,158.92,317.84,177.4,140.44,44.18
ORD-03414,2022-01-08,2022,Q1,1,January,Europe,France,Furniture,Desks,Government,1,1237.61,1237.61,785.8,451.81,36.51
ORD-07336,2022-01-08,2022,Q1,1,January,North America,United States,Electronics,Tablets,Consumer,1,106.07,106.07,87.99,18.08,17.04
ORD-01117,2022-01-08,2022,Q1,1,January,Latin America,Chile,Office Supplies,Pens & Markers,Corporate,1,7.32,7.32,4.44,2.88,39.36
ORD-07537,2022-01-08,2022,Q1,1,January,Latin America,Argentina,Furniture,Desks,Consumer,2,330.57,661.14,437.62,223.52,33.81
ORD-03629,2022-01-08,2022,Q1,1,January,Latin America,Chile,Office Supplies,Paper & Notebooks,Government,2,49.77,99.54,50.78,48.76,48.98
ORD-05841,2022-01-08,2022,Q1,1,January,North America,Mexico,Electronics,Smartphones,Corporate,1,762.78,762.78,626.25,136.53,17.9
ORD-08134,2022-01-08,2022,Q1,1,January,Europe,Spain,Electronics,Tablets,Government,1,855.51,855.51,602.58,252.93,29.56
ORD-02368,2022-01-08,2022,Q1,1,January,Europe,Spain,Clothing,Casual Wear,Consumer,1,24.73,24.73,14.55,10.18,41.16
ORD-04576,2022-01-08,2022,Q1,1,January,Asia Pacific,China,Electronics,Accessories,Government,1,42.75,42.75,31.11,11.64,27.23
ORD-02525,2022-01-08,2022,Q1,1,January,Europe,Italy,Furniture,Lighting,Government,2,139.92,279.84,162.46,117.38,41.95
ORD-02773,2022-01-08,2022,Q1,1,January,North America,United States,Furniture,Office Chairs,Consumer,2,246.32,492.64,330.72,161.92,32.87
ORD-09970,2022-01-08,2022,Q1,1,January,Latin America,Brazil,Electronics,Tablets,Corporate,1,420.4,420.4,297.67,122.73,29.19
ORD-04379,2022-01-09,2022,Q1,1,January,Latin America,Brazil,Furniture,Desks,Corporate,1,451.58,451.58,249.71,201.87,44.7
ORD-00458,2022-01-09,2022,Q1,1,January,North America,Canada,Clothing,Casual Wear,Government,1,106.74,106.74,62.75,43.99,41.21
ORD-00931,2022-01-09,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Office Chairs,Government,1,883.13,883.13,543.53,339.6,38.45
ORD-02709,2022-01-09,2022,Q1,1,January,North America,Mexico,Office Supplies,Printers & Ink,Corporate,1,71.29,71.29,36.94,34.35,48.18
ORD-03031,2022-01-09,2022,Q1,1,January,Asia Pacific,India,Clothing,Accessories,Corporate,1,83.33,83.33,33.82,49.51,59.41
ORD-07439,2022-01-09,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Paper & Notebooks,Corporate,1,37.31,37.31,20.07,17.24,46.21
ORD-04475,2022-01-09,2022,Q1,1,January,North America,Canada,Office Supplies,Pens & Markers,Corporate,1,28.41,28.41,17.7,10.71,37.68
ORD-05846,2022-01-10,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Pens & Markers,Government,1,27.51,27.51,16.8,10.71,38.94
ORD-02499,2022-01-10,2022,Q1,1,January,Asia Pacific,India,Clothing,Casual Wear,Consumer,6,8.17,49.02,23.03,25.99,53.03
ORD-09166,2022-01-10,2022,Q1,1,January,North America,Mexico,Electronics,Accessories,Government,2,140.99,281.98,214.03,67.95,24.1
ORD-08931,2022-01-10,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Tablets,Corporate,1,218.72,218.72,161.75,56.97,26.05
ORD-01000,2022-01-10,2022,Q1,1,January,North America,Canada,Office Supplies,Printers & Ink,Consumer,1,24.87,24.87,14.29,10.58,42.55
ORD-03372,2022-01-10,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Storage,Government,1,222.7,222.7,124.13,98.57,44.26
ORD-03649,2022-01-10,2022,Q1,1,January,Latin America,Chile,Clothing,Formal Wear,Government,1,417.59,417.59,217.12,200.47,48.01
ORD-00723,2022-01-10,2022,Q1,1,January,North America,Mexico,Office Supplies,Organizers,Government,1,58.85,58.85,35.99,22.86,38.84
ORD-05839,2022-01-10,2022,Q1,1,January,North America,United States,Furniture,Lighting,Government,1,229.67,229.67,128.6,101.07,44.01
ORD-07504,2022-01-10,2022,Q1,1,January,Asia Pacific,South Korea,Clothing,Formal Wear,Small Business,1,140.02,140.02,76.81,63.21,45.14
ORD-06451,2022-01-10,2022,Q1,1,January,Latin America,Chile,Electronics,Accessories,Corporate,2,107.33,214.66,175.49,39.17,18.25
ORD-01202,2022-01-11,2022,Q1,1,January,North America,United States,Office Supplies,Organizers,Government,1,25.3,25.3,12.69,12.61,49.83
ORD-01067,2022-01-11,2022,Q1,1,January,North America,United States,Electronics,Smartphones,Corporate,1,843.78,843.78,615.89,227.89,27.01
ORD-02165,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Furniture,Storage,Small Business,1,59.21,59.21,38.66,20.55,34.71
ORD-02718,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Furniture,Storage,Consumer,5,120.55,602.75,395.35,207.4,34.41
ORD-03525,2022-01-11,2022,Q1,1,January,North America,Canada,Office Supplies,Organizers,Government,1,83.14,83.14,50.2,32.94,39.62
ORD-00514,2022-01-12,2022,Q1,1,January,North America,Canada,Clothing,Sportswear,Corporate,3,150.56,451.68,181.87,269.81,59.74
ORD-05244,2022-01-12,2022,Q1,1,January,Europe,Germany,Office Supplies,Printers & Ink,Small Business,3,174.76,524.28,258.83,265.45,50.63
ORD-04936,2022-01-12,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Organizers,Small Business,1,47.0,47.0,30.42,16.58,35.27
ORD-06823,2022-01-12,2022,Q1,1,January,Latin America,Chile,Clothing,Sportswear,Corporate,5,145.78,728.9,368.84,360.06,49.4
ORD-08013,2022-01-12,2022,Q1,1,January,North America,United States,Electronics,Tablets,Consumer,1,299.55,299.55,210.92,88.63,29.59
ORD-01390,2022-01-12,2022,Q1,1,January,North America,United States,Clothing,Sportswear,Corporate,1,129.65,129.65,67.14,62.51,48.21
ORD-02155,2022-01-12,2022,Q1,1,January,Europe,Italy,Electronics,Tablets,Consumer,1,262.65,262.65,184.63,78.02,29.71
ORD-09819,2022-01-12,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Organizers,Government,1,83.33,83.33,37.71,45.62,54.75
ORD-08026,2022-01-12,2022,Q1,1,January,North America,Canada,Office Supplies,Pens & Markers,Corporate,1,12.81,12.81,6.22,6.59,51.45
ORD-05506,2022-01-13,2022,Q1,1,January,Asia Pacific,South Korea,Office Supplies,Organizers,Government,1,36.08,36.08,22.6,13.48,37.37
ORD-02114,2022-01-13,2022,Q1,1,January,North America,Canada,Office Supplies,Printers & Ink,Consumer,3,96.05,288.15,130.85,157.3,54.59
ORD-02686,2022-01-13,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Organizers,Government,1,18.82,18.82,12.19,6.63,35.22
ORD-01262,2022-01-13,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Casual Wear,Government,2,96.2,192.4,78.74,113.66,59.07
ORD-00063,2022-01-13,2022,Q1,1,January,Latin America,Chile,Electronics,Accessories,Government,2,171.07,342.14,275.49,66.65,19.48
ORD-04565,2022-01-13,2022,Q1,1,January,Latin America,Brazil,Electronics,Smartphones,Government,1,764.35,764.35,581.92,182.43,23.87
ORD-09639,2022-01-13,2022,Q1,1,January,North America,United States,Office Supplies,Pens & Markers,Corporate,1,28.87,28.87,14.5,14.37,49.78
ORD-07866,2022-01-13,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Printers & Ink,Consumer,5,53.09,265.45,123.9,141.55,53.33
ORD-07261,2022-01-13,2022,Q1,1,January,Europe,United Kingdom,Electronics,Tablets,Government,1,785.19,785.19,551.49,233.7,29.76
ORD-08899,2022-01-14,2022,Q1,1,January,Latin America,Colombia,Electronics,Laptops,Small Business,1,1484.08,1484.08,1207.13,276.95,18.66
ORD-00502,2022-01-14,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Printers & Ink,Government,1,210.55,210.55,131.01,79.54,37.78
ORD-04810,2022-01-14,2022,Q1,1,January,Europe,United Kingdom,Furniture,Lighting,Small Business,3,55.51,166.53,94.83,71.7,43.05
ORD-00889,2022-01-14,2022,Q1,1,January,Europe,Germany,Furniture,Lighting,Government,1,86.04,86.04,50.61,35.43,41.18
ORD-00635,2022-01-14,2022,Q1,1,January,Latin America,Chile,Clothing,Accessories,Consumer,1,12.81,12.81,5.93,6.88,53.68
ORD-04049,2022-01-14,2022,Q1,1,January,Europe,France,Clothing,Casual Wear,Corporate,3,61.04,183.12,77.43,105.69,57.72
ORD-05299,2022-01-14,2022,Q1,1,January,Europe,Spain,Electronics,Tablets,Small Business,1,353.98,353.98,300.71,53.27,15.05
ORD-08304,2022-01-14,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Organizers,Corporate,1,11.74,11.74,6.29,5.45,46.45
ORD-07793,2022-01-14,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Sportswear,Corporate,1,179.12,179.12,84.14,94.98,53.03
ORD-03411,2022-01-15,2022,Q1,1,January,North America,Canada,Office Supplies,Paper & Notebooks,Government,1,11.17,11.17,7.16,4.01,35.89
ORD-04836,2022-01-15,2022,Q1,1,January,Latin America,Argentina,Clothing,Formal Wear,Government,1,338.88,338.88,119.88,219.0,64.62
ORD-00936,2022-01-15,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Printers & Ink,Corporate,1,99.02,99.02,48.1,50.92,51.42
ORD-02832,2022-01-15,2022,Q1,1,January,Latin America,Brazil,Furniture,Office Chairs,Government,1,894.02,894.02,601.13,292.89,32.76
ORD-02522,2022-01-15,2022,Q1,1,January,North America,Mexico,Electronics,Tablets,Corporate,1,419.57,419.57,311.37,108.2,25.79
ORD-01087,2022-01-15,2022,Q1,1,January,Latin America,Brazil,Clothing,Formal Wear,Corporate,1,308.53,308.53,130.93,177.6,57.56
ORD-06279,2022-01-15,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Smartphones,Consumer,2,280.85,561.7,477.23,84.47,15.04
ORD-08745,2022-01-15,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Paper & Notebooks,Small Business,1,4.86,4.86,2.25,2.61,53.61
ORD-05453,2022-01-15,2022,Q1,1,January,Latin America,Chile,Clothing,Casual Wear,Small Business,1,31.98,31.98,18.35,13.63,42.61
ORD-05359,2022-01-15,2022,Q1,1,January,Europe,Spain,Electronics,Tablets,Government,3,412.25,1236.75,949.92,286.83,23.19
ORD-05681,2022-01-16,2022,Q1,1,January,Europe,United Kingdom,Electronics,Smartphones,Small Business,1,384.74,384.74,302.54,82.2,21.36
ORD-04040,2022-01-16,2022,Q1,1,January,North America,United States,Clothing,Sportswear,Consumer,1,12.52,12.52,4.51,8.01,64.0
ORD-08812,2022-01-16,2022,Q1,1,January,Asia Pacific,China,Clothing,Casual Wear,Small Business,1,69.1,69.1,36.37,32.73,47.37
ORD-07573,2022-01-16,2022,Q1,1,January,North America,Mexico,Office Supplies,Paper & Notebooks,Consumer,1,12.23,12.23,7.06,5.17,42.25
ORD-04367,2022-01-16,2022,Q1,1,January,North America,Canada,Furniture,Storage,Small Business,1,64.17,64.17,36.54,27.63,43.06
ORD-06124,2022-01-16,2022,Q1,1,January,North America,United States,Electronics,Laptops,Corporate,12,2332.85,27994.2,21744.76,6249.44,22.32
ORD-02046,2022-01-16,2022,Q1,1,January,North America,Canada,Office Supplies,Organizers,Corporate,2,25.53,51.06,25.94,25.12,49.21
ORD-04543,2022-01-16,2022,Q1,1,January,Asia Pacific,India,Furniture,Lighting,Corporate,1,170.06,170.06,120.66,49.4,29.05
ORD-05224,2022-01-16,2022,Q1,1,January,Latin America,Colombia,Clothing,Sportswear,Government,1,80.31,80.31,45.55,34.76,43.28
ORD-04310,2022-01-16,2022,Q1,1,January,Latin America,Brazil,Office Supplies,Pens & Markers,Corporate,2,20.05,40.1,22.35,17.75,44.27
ORD-03283,2022-01-17,2022,Q1,1,January,Asia Pacific,China,Furniture,Lighting,Government,3,200.8,602.4,420.98,181.42,30.12
ORD-00829,2022-01-17,2022,Q1,1,January,North America,Mexico,Furniture,Lighting,Government,2,221.6,443.2,297.57,145.63,32.86
ORD-07931,2022-01-17,2022,Q1,1,January,North America,Mexico,Office Supplies,Paper & Notebooks,Consumer,2,17.78,35.56,16.03,19.53,54.93
ORD-00875,2022-01-17,2022,Q1,1,January,Europe,United Kingdom,Clothing,Formal Wear,Small Business,1,67.71,67.71,26.28,41.43,61.19
ORD-06552,2022-01-17,2022,Q1,1,January,Europe,Germany,Office Supplies,Paper & Notebooks,Small Business,1,5.15,5.15,2.6,2.55,49.53
ORD-06984,2022-01-17,2022,Q1,1,January,North America,Mexico,Office Supplies,Paper & Notebooks,Consumer,2,11.96,23.92,13.46,10.46,43.75
ORD-02299,2022-01-17,2022,Q1,1,January,Asia Pacific,China,Electronics,Tablets,Government,1,369.06,369.06,294.34,74.72,20.25
ORD-03035,2022-01-17,2022,Q1,1,January,Latin America,Argentina,Electronics,Accessories,Corporate,1,103.06,103.06,75.77,27.29,26.48
ORD-02743,2022-01-17,2022,Q1,1,January,North America,United States,Electronics,Accessories,Small Business,1,60.66,60.66,46.21,14.45,23.82
ORD-03715,2022-01-17,2022,Q1,1,January,Europe,France,Office Supplies,Organizers,Government,7,19.25,134.75,63.33,71.42,53.0
ORD-06127,2022-01-17,2022,Q1,1,January,North America,Canada,Office Supplies,Printers & Ink,Government,1,90.76,90.76,58.41,32.35,35.64
ORD-04167,2022-01-18,2022,Q1,1,January,Europe,Spain,Office Supplies,Printers & Ink,Government,1,102.08,102.08,65.24,36.84,36.09
ORD-03065,2022-01-18,2022,Q1,1,January,North America,United States,Office Supplies,Pens & Markers,Corporate,1,26.27,26.27,14.8,11.47,43.65
ORD-09628,2022-01-18,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Organizers,Consumer,3,24.89,74.67,45.38,29.29,39.22
ORD-05079,2022-01-18,2022,Q1,1,January,Latin America,Colombia,Furniture,Office Chairs,Government,1,836.65,836.65,592.07,244.58,29.23
ORD-03131,2022-01-18,2022,Q1,1,January,Latin America,Brazil,Furniture,Office Chairs,Small Business,2,325.79,651.58,395.01,256.57,39.38
ORD-05074,2022-01-18,2022,Q1,1,January,Europe,United Kingdom,Electronics,Accessories,Government,1,57.84,57.84,48.81,9.03,15.62
ORD-09110,2022-01-18,2022,Q1,1,January,North America,Mexico,Office Supplies,Paper & Notebooks,Corporate,2,5.24,10.48,6.42,4.06,38.78
ORD-04809,2022-01-19,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Organizers,Consumer,1,20.12,20.12,11.66,8.46,42.03
ORD-06670,2022-01-19,2022,Q1,1,January,Europe,Germany,Office Supplies,Printers & Ink,Government,1,181.31,181.31,85.14,96.17,53.04
ORD-08570,2022-01-19,2022,Q1,1,January,Europe,Spain,Furniture,Desks,Government,1,1432.8,1432.8,807.5,625.3,43.64
ORD-03565,2022-01-19,2022,Q1,1,January,Latin America,Chile,Clothing,Accessories,Small Business,1,19.43,19.43,7.49,11.94,61.45
ORD-02580,2022-01-19,2022,Q1,1,January,Asia Pacific,South Korea,Clothing,Accessories,Small Business,1,22.97,22.97,9.87,13.1,57.05
ORD-03140,2022-01-19,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Government,1,1891.77,1891.77,1484.93,406.84,21.51
ORD-01514,2022-01-19,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Desks,Corporate,1,327.95,327.95,235.75,92.2,28.12
ORD-00570,2022-01-19,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Accessories,Corporate,1,145.95,145.95,111.34,34.61,23.72
ORD-09974,2022-01-19,2022,Q1,1,January,Latin America,Chile,Electronics,Smartphones,Small Business,1,302.94,302.94,239.2,63.74,21.04
ORD-01093,2022-01-19,2022,Q1,1,January,North America,Canada,Furniture,Lighting,Small Business,1,28.34,28.34,18.47,9.87,34.84
ORD-02110,2022-01-19,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Pens & Markers,Consumer,6,8.7,52.2,26.88,25.32,48.51
ORD-03137,2022-01-19,2022,Q1,1,January,Latin America,Brazil,Clothing,Casual Wear,Government,2,61.06,122.12,56.01,66.11,54.13
ORD-03048,2022-01-19,2022,Q1,1,January,North America,United States,Clothing,Casual Wear,Government,1,28.79,28.79,17.04,11.75,40.82
ORD-01051,2022-01-19,2022,Q1,1,January,Europe,Spain,Furniture,Office Chairs,Government,3,599.87,1799.61,1183.93,615.68,34.21
ORD-08340,2022-01-20,2022,Q1,1,January,Europe,Spain,Clothing,Casual Wear,Government,2,98.16,196.32,73.42,122.9,62.6
ORD-01477,2022-01-20,2022,Q1,1,January,North America,Mexico,Furniture,Lighting,Small Business,2,77.33,154.66,89.36,65.3,42.22
ORD-09319,2022-01-20,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Pens & Markers,Corporate,1,14.11,14.11,6.53,7.58,53.74
ORD-00040,2022-01-20,2022,Q1,1,January,Europe,United Kingdom,Furniture,Lighting,Government,1,58.82,58.82,33.0,25.82,43.9
